GeneID,GeneSymbol,GeneBiotype,VH09_S40,VH06_S37,VH03_S34,VH02_S33,VH10_S41,VH11_S42,VH07_S38,VH04_S35,VH05_S36,VH12_S43,VH08_S39,VH01_S32
ENSMUSG00000102693,4933401J01Rik,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,Gm26206,snRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,Xkr4,protein_coding,84,132,133,62,67,85,170,88,106,68,104,53
ENSMUSG00000102851,Gm18956,processed_pseudogene,2,1,3,1,0,2,2,1,2,0,0,0
ENSMUSG00000103377,Gm37180,TEC,5,15,14,5,7,16,21,7,10,2,12,5
ENSMUSG00000104017,Gm37363,TEC,4,6,16,1,4,9,24,9,1,3,6,3
ENSMUSG00000103025,Gm37686,TEC,2,5,3,0,2,2,4,2,2,4,3,0
ENSMUSG00000089699,Gm1992,antisense_RNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,Gm37329,TEC,0,7,9,2,3,7,16,7,6,1,8,0
ENSMUSG00000103147,Gm7341,processed_pseudogene,8,15,12,4,10,14,13,19,11,5,12,10
ENSMUSG00000103161,Gm38148,TEC,10,12,20,1,12,17,29,10,4,5,16,2
ENSMUSG00000102331,Gm19938,sense_intronic,26,31,25,7,8,21,25,13,8,4,26,11
ENSMUSG00000102348,Gm10568,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,Gm38385,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,Gm27396,snRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,Gm37381,lincRNA,10,2,13,6,13,12,14,6,4,21,11,10
ENSMUSG00000025900,Rp1,protein_coding,276,102,242,250,236,300,274,180,162,299,213,222
ENSMUSG00000102948,Gm6101,processed_pseudogene,8,1,7,4,11,6,6,7,2,8,6,9
ENSMUSG00000104123,Gm37483,TEC,0,0,2,1,5,2,5,0,0,7,5,5
ENSMUSG00000025902,Sox17,protein_coding,1743,3119,2842,1202,1891,2177,4033,2370,2637,1610,3103,1580
ENSMUSG00000104238,Gm37587,processed_transcript,27,17,35,14,23,32,53,32,23,19,52,20
ENSMUSG00000102269,Gm7357,processed_pseudogene,38,41,72,20,43,38,71,61,36,22,69,28
ENSMUSG00000096126,Gm22307,snRNA,0,1,3,1,1,1,2,0,0,0,1,1
ENSMUSG00000103003,Gm38076,processed_pseudogene,0,0,0,0,0,2,0,0,0,0,1,0
ENSMUSG00000104328,Gm37323,lincRNA,5,3,9,5,2,4,6,2,1,0,10,3
ENSMUSG00000102735,Gm7369,processed_pseudogene,0,0,4,0,0,0,1,2,0,2,2,0
ENSMUSG00000098104,Gm6085,processed_pseudogene,15,9,14,11,7,7,19,17,15,9,16,20
ENSMUSG00000102175,Gm6119,processed_pseudogene,9,6,8,7,9,9,6,9,2,10,6,8
ENSMUSG00000088000,Gm25493,snRNA,3,0,1,1,2,1,0,3,0,0,4,0
ENSMUSG00000103265,Gm2053,processed_pseudogene,9,5,5,7,2,6,14,3,9,8,6,5
ENSMUSG00000103922,Gm6123,processed_pseudogene,18,13,14,14,4,14,20,7,2,10,11,10
ENSMUSG00000033845,Mrpl15,protein_coding,715,393,611,539,550,422,744,492,306,671,560,612
ENSMUSG00000102275,Gm37144,TEC,54,65,38,24,45,28,45,37,43,53,36,37
ENSMUSG00000025903,Lypla1,protein_coding,1042,281,676,638,560,703,743,443,198,696,630,671
ENSMUSG00000104217,Gm37988,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,Tcea1,protein_coding,1700,874,1229,1251,1204,1077,1442,1000,757,1394,1215,1276
ENSMUSG00000062588,Gm6104,processed_pseudogene,33,61,52,39,46,24,58,37,18,59,53,53
ENSMUSG00000103280,Gm37277,TEC,20,7,27,12,11,16,18,12,1,21,11,25
ENSMUSG00000002459,Rgs20,protein_coding,6,2,5,7,5,2,9,5,1,8,9,9
ENSMUSG00000091305,Gm17100,processed_pseudogene,1,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000102653,Gm37079,TEC,0,0,3,1,0,1,0,0,0,0,0,1
ENSMUSG00000085623,Gm16041,antisense_RNA,0,0,0,0,5,0,2,0,0,0,0,0
ENSMUSG00000091665,Gm17101,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,Atp6v1h,protein_coding,2310,1142,1601,1658,1576,1646,1753,1290,863,1904,1541,1847
ENSMUSG00000104352,Gm7182,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,Gm37567,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,Gm38264,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,Oprk1,protein_coding,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000103936,Gm36965,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,Gm22463,miRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,Gm37429,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,Npbwr1,protein_coding,3,0,0,4,7,1,0,0,0,4,2,7
ENSMUSG00000103090,Gm19214,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,Rb1cc1,protein_coding,6532,1684,3366,4336,3664,3866,3631,2685,966,5022,3211,4616
